ISLAND,TRANSECTID,OCC_SITEID,REA_SITE,SITE_DEPTH_M,LATITUDE,LONGITUDE,REGION,STATUS
AGR,AGR-N,OCC-AGR-001,AGR-04,14,18.80745,145.64871,CNMI,Active
AGR,,OCC-AGR-002,AGR-07,14.3,18.79776,145.68767,CNMI,Active
AGR,,OCC-AGR-003,AGR-01,14.6,18.74842,145.6946,CNMI,Active
AGR,AGR-S,OCC-AGR-004,AGR-02,9.1,18.72673,145.66317,CNMI,Active
AGR,,OCC-AGR-005,AGR-06,9.1,18.75727,145.64035,CNMI,Active
AGR,,OCC-AGR-006,,1.5,18.76656,145.63819,CNMI,Inactive
AGU,,OCC-AGU-001,,7.5,14.84775,145.53722,CNMI,Active
AGU,,OCC-AGU-002,,10,14.83502,145.53263,CNMI,Inactive
ALA,,OCC-ALA-001,,16.2,17.61484,145.84253,CNMI,Active
ALA,,OCC-ALA-002,,6.7,17.58746,145.81869,CNMI,Active
ALA,,OCC-ALA-003,,3,17.61873,145.8234,CNMI,Inactive
ANA,,OCC-ANA-001,,4,16.33289,145.7027,CNMI,Active
ANA,,OCC-ANA-002,,5.5,16.33462,145.64532,CNMI,Inactive
ASC,,OCC-ASC-001,ASC-04,13.7,19.70841,145.40303,CNMI,Active
ASC,ASC-E,OCC-ASC-002,,11.9,19.69984,145.41759,CNMI,Active
ASC,,OCC-ASC-003,ASC-20,12.5,19.67693,145.41079,CNMI,Active
ASC,,OCC-ASC-004,ASC-02,10.1,19.68034,145.39133,CNMI,Active
ASC,,OCC-ASC-005,ASC-06,14,19.69025,145.38852,CNMI,Active
ASC,,OCC-ASC-006,,4,19.69338,145.38965,CNMI,Active
ASC,ASC-E,OCC-ASC-007,,29.6,19.69956,145.41851,CNMI,Inactive
ASC,,OCC-ASC-008,ASC-03,14.8,19.7017,145.39365,CNMI,Inactive
AUAU,,OCC-AUAU-001,,45.3,20.80608,-156.6497,MHI,Inactive
AUAU,,OCC-AUAU-002,,36.4,20.80608,-156.6497,MHI,Inactive
AUAU,,OCC-AUAU-003,,27.9,20.80608,-156.6497,MHI,Inactive
AUAU,,OCC-AUAU-004,,54.4,20.80608,-156.6497,MHI,Inactive
AUAU,,OCC-AUAU-005,,58.3,20.80937,-156.68153,MHI,Inactive
AUAU,,OCC-AUAU-006,,49.1,20.80937,-156.68153,MHI,Inactive
AUAU,,OCC-AUAU-007,,40.9,20.80937,-156.68153,MHI,Inactive
AUAU,,OCC-AUAU-008,,67.4,20.80937,-156.68153,MHI,Inactive
AUAU,,OCC-AUAU-009,,112.4,20.77162,-156.67068,MHI,Inactive
AUAU,,OCC-AUAU-010,,92.8,20.77162,-156.67068,MHI,Inactive
AUAU,,OCC-AUAU-011,,102.8,20.77162,-156.67068,MHI,Inactive
AUAU,,OCC-AUAU-012,,121.7,20.77162,-156.67068,MHI,Inactive
AUAU,,OCC-AUAU-013,,82.8,20.77813,-156.67362,MHI,Inactive
AUAU,,OCC-AUAU-014,,53.3,20.77813,-156.67362,MHI,Inactive
AUAU,,OCC-AUAU-015,,63.6,20.77813,-156.67362,MHI,Inactive
AUAU,,OCC-AUAU-016,,73.2,20.77813,-156.67362,MHI,Inactive
AUAU,,OCC-AUAU-017,,78,20.81208,-156.71048,MHI,Inactive
BAK,BAK-N,OCC-BAK-001,,25.6,0.20641,-176.47583,PRIA,Active
BAK,BAK-N,OCC-BAK-002,,13.7,0.20494,-176.47651,PRIA,Active
BAK,BAK-N,OCC-BAK-003,BAK-14,15.2,0.20532,-176.47439,PRIA,Active
BAK,BAK-E,OCC-BAK-004,,23.5,0.19151,-176.45643,PRIA,Active
BAK,BAK-E,OCC-BAK-005,,14,0.19159,-176.46014,PRIA,Active
BAK,BAK-E,OCC-BAK-006,,4.3,0.19404,-176.46729,PRIA,Active
BAK,,OCC-BAK-007,BAK-50,14.9,0.18702,-176.4705,PRIA,Active
BAK,,OCC-BAK-008,BAK-02,14.6,0.1883,-176.47988,PRIA,Active
BAK,BAK-W,OCC-BAK-009,,25.6,0.19178,-176.48887,PRIA,Active
BAK,BAK-W,OCC-BAK-010,,14.3,0.19181,-176.48867,PRIA,Active
BAK,,OCC-BAK-011,BAK-11,15.2,0.1989,-176.485,PRIA,Active
BAK,BAK-W,OCC-BAK-012,,5.2,0.19182,-176.48851,PRIA,Inactive
BAK,BAK-N,OCC-BAK-013,,5.2,0.20357,-176.47609,PRIA,Inactive
BAK,BAK-E,OCC-BAK-014,BAK-16,11.3,0.19459,-176.46281,PRIA,Inactive
BAK,BAK-N,OCC-BAK-015,,17.4,0.20539,-176.47587,PRIA,Inactive
BAK,BAK-S,OCC-BAK-016,,5.5,0.18783,-176.47476,PRIA,Inactive
BAK,BAK-W,OCC-BAK-017,,9.1,0.1918,-176.4886,PRIA,Inactive
BAK,BAK-W,OCC-BAK-018,,18.6,0.19176,-176.48872,PRIA,Inactive
BAK,,OCC-BAK-019,,18.9,0.18994,-176.46012,PRIA,Inactive
BAK,,OCC-BAK-020,,0.2,0.18995,-176.46015,PRIA,Inactive
BAK,BAK-S,OCC-BAK-021,,2.4,0.18797,-176.47474,PRIA,Inactive
BAK,,OCC-BAK-022,BAK-09,17,0.1868,-176.47007,PRIA,Inactive
FDP,FDP-SE,OCC-FDP-001,,14.9,20.53755,144.89951,CNMI,Active
FDP,,OCC-FDP-002,,14,20.54518,144.88572,CNMI,Active
FDP,FDP-SE,OCC-FDP-003,,10.7,20.53791,144.89858,CNMI,Inactive
FDP,FDP-W,OCC-FDP-004,,18.6,20.5452,144.88556,CNMI,Inactive
FDP,FDP-W,OCC-FDP-005,,31.7,20.54528,144.88533,CNMI,Inactive
FDP,FDP-SE,OCC-FDP-006,,32.3,20.53724,144.9003,CNMI,Inactive
FDP,,OCC-FDP-007,,1.5,20.53712,144.89767,CNMI,Inactive
FFP,,OCC-FFP-001,,17.7,21.68675,-160.60316,MHI,Inactive
FFS,FFS-N,OCC-FFS-001,,24.4,23.87852,-166.29093,NWHI,Active
FFS,FFS-N,OCC-FFS-002,FFS-42,17.7,23.87815,-166.29107,NWHI,Active
FFS,FFS-N,OCC-FFS-003,,6.4,23.8756,-166.29175,NWHI,Active
FFS,,OCC-FFS-004,FFS-43,16.8,23.88021,-166.27707,NWHI,Active
FFS,,OCC-FFS-005,,2.7,23.86608,-166.21969,NWHI,Active
FFS,FFS-E,OCC-FFS-006,,26.5,23.83664,-166.11706,NWHI,Active
FFS,FFS-E,OCC-FFS-007,FFS-44,18,23.83513,-166.11689,NWHI,Active
FFS,FFS-E,OCC-FFS-008,,4.6,23.83024,-166.12027,NWHI,Active
FFS,FFS-S,OCC-FFS-009,,27.4,23.63488,-166.18569,NWHI,Active
FFS,FFS-S,OCC-FFS-010,FFS-40,14.3,23.63669,-166.18518,NWHI,Active
FFS,FFS-S,OCC-FFS-011,,6.7,23.64113,-166.17979,NWHI,Active
FFS,FFS-S,OCC-FFS-012,,1.5,23.64513,-166.17376,NWHI,Inactive
FFS,,OCC-FFS-013,,4.6,23.76894,-166.26134,NWHI,Inactive
FFS,FFS-W,OCC-FFS-014,FFS-41,12.5,23.79247,-166.25372,NWHI,Inactive
FFS,FFS-W,OCC-FFS-015,,4.6,23.79184,-166.23322,NWHI,Inactive
FFS,,OCC-FFS-016,,2.7,23.73813,-166.1675,NWHI,Inactive
FFS,,OCC-FFS-017,,24.1,23.63498,-166.18556,NWHI,Inactive
FFS,,OCC-FFS-018,,2.1,23.82794,-166.12122,NWHI,Inactive
FFS,,OCC-FFS-019,,10.1,23.76887,-166.26197,NWHI,Inactive
FFS,,OCC-FFS-020,,0.2,23.85626,-166.27519,NWHI,Inactive
FFS,FFS-S,OCC-FFS-021,,10.4,23.63881,-166.1797,NWHI,Inactive
FFS,,OCC-FFS-022,FFS-72,8.8,23.88049,-166.27307,NWHI,Inactive
FFS,,OCC-FFS-023,,7.3,23.85626,-166.27516,NWHI,Inactive
FFS,,OCC-FFS-024,,7.9,23.85676,-166.27187,NWHI,Inactive
FFS,,OCC-FFS-025,,2.1,23.73815,-166.16685,NWHI,Inactive
FFS,,OCC-FFS-026,,0.9,23.85675,-166.27163,NWHI,Inactive
FFS,FFS-S,OCC-FFS-027,,2,23.64478,-166.1735,NWHI,Inactive
FFS,,OCC-FFS-028,FFS-12,11.6,23.63835,-166.18005,NWHI,Inactive
FFS,"
",OCC-FFS-029,FFS-21,12.2,23.84688,-166.32697,NWHI,Inactive
FFS,,OCC-FFS-030,FFS-34,9.1,23.62792,-166.13538,NWHI,Inactive
FFS,,OCC-FFS-031,FFS-83,8.2,23.76928,-166.26173,NWHI,Inactive
FFS,,OCC-FFS-032,,237.7,23.6373,-166.2632166,NWHI,Inactive
FFS,,OCC-FFS-033,,113.4,23.743611,-166.396389,NWHI,Inactive
GAR,,OCC-GAR-001,,10.7,24.9988,-167.99958,NWHI,Inactive
GUA,GUA-N,OCC-GUA-001,,23.8,13.60387,144.92395,CNMI,Active
GUA,GUA-N,OCC-GUA-002,GUA-23,15.5,13.60334,144.92367,CNMI,Active
GUA,GUA-N,OCC-GUA-003,,5.8,13.60229,144.9234,CNMI,Active
GUA,GUA-E,OCC-GUA-004,,24.7,13.47379,144.86602,CNMI,Active
GUA,GUA-E,OCC-GUA-005,GUA-22,16.5,13.4752,144.86489,CNMI,Active
GUA,GUA-E,OCC-GUA-006,,4.6,13.47596,144.86356,CNMI,Active
GUA,,OCC-GUA-007,GUA-13,12.8,13.29149,144.76768,CNMI,Active
GUA,GUA-S,OCC-GUA-008,,25.6,13.24083,144.70444,CNMI,Active
GUA,GUA-S,OCC-GUA-009,GUA-21,13.7,13.24121,144.70449,CNMI,Active
GUA,GUA-S,OCC-GUA-010,,4.6,13.24216,144.70398,CNMI,Active
GUA,GUA-S,OCC-GUA-011,,1.2,13.24343,144.70053,CNMI,Active
GUA,,OCC-GUA-012,GUA-12,12.8,13.4488,144.62593,CNMI,Active
GUA,,OCC-GUA-013,,1.2,13.47556,144.69917,CNMI,Active
GUA,GUA-W,OCC-GUA-014,,25,13.52894,144.80018,CNMI,Active
GUA,GUA-W,OCC-GUA-015,GUA-20,14.3,13.52896,144.80035,CNMI,Active
GUA,GUA-W,OCC-GUA-016,,12.5,13.52902,144.80047,CNMI,Active
GUA,GUA-W,OCC-GUA-017,,5.2,13.52886,144.8013,CNMI,Active
GUA,,OCC-GUA-018,,0.3,13.52902,144.80047,CNMI,Inactive
GUA,,OCC-GUA-019,,8.5,13.63241,144.89296,CNMI,Inactive
GUA,,OCC-GUA-020,,0.3,13.51902,144.79778,CNMI,Inactive
GUA,,OCC-GUA-021,GUA-02,14.6,13.30528,144.65307,CNMI,Inactive
GUA,,OCC-GUA-022,GUA-05,10.5,13.57865,144.82843,CNMI,Inactive
GUA,,OCC-GUA-023,GUA-08,12.9,13.4888,144.87747,CNMI,Inactive
GUG,,OCC-GUG-001,,15.2,17.31068,145.85364,CNMI,Active
GUG,GUG-W,OCC-GUG-002,,15.8,17.30753,145.83081,CNMI,Active
GUG,GUG-W,OCC-GUG-003,,6.7,17.30734,145.83139,CNMI,Active
HAW,HAW-N,OCC-HAW-001,,24.7,20.27026,-155.86099,MHI,Active
HAW,HAW-N,OCC-HAW-002,HAW-41,14,20.26822,-155.86041,MHI,Active
HAW,,OCC-HAW-003,HAW-44,13.1,19.74696,-155.05803,MHI,Inactive
HAW,,OCC-HAW-004,HAW-45,12.8,19.66471,-154.97473,MHI,Inactive
HAW,HAW-E,OCC-HAW-005,,24.4,19.48632,-154.81673,MHI,Inactive
HAW,HAW-E,OCC-HAW-006,HAW-46,11.9,19.48638,-154.81766,MHI,Inactive
HAW,HAW-S,OCC-HAW-007,,25.6,19.05802,-155.55022,MHI,Active
HAW,HAW-S,OCC-HAW-008,HAW-48,14.9,19.06071,-155.55237,MHI,Active
HAW,HAW-W,OCC-HAW-009,,24.1,19.24418,-155.90043,MHI,Active
HAW,HAW-W,OCC-HAW-010,HAW-43,14.3,19.2443,-155.90028,MHI,Active
HAW,HAW-W,OCC-HAW-011,,5.2,19.24446,-155.89974,MHI,Active
HAW,,OCC-HAW-012,HAW-73,14.6,19.88457,-155.91391,MHI,Inactive
HAW,,OCC-HAW-013,HAW-49,14.6,19.93093,-155.89203,MHI,Inactive
HAW,,OCC-HAW-014,HAW-42,13.7,20.24913,-155.89095,MHI,Inactive
HAW,,OCC-HAW-015,,15.2,19.20991,-155.90137,MHI,Inactive
HAW,,OCC-HAW-016,HAW-47,15.8,19.39414,-154.92416,MHI,Inactive
HAW,,OCC-HAW-017,,17.7,19.07381,-155.90162,MHI,Inactive
HAW,,OCC-HAW-018,,13.7,18.92253,-155.68431,MHI,Inactive
HAW,,OCC-HAW-019,,10.1,20.19118,-155.90352,MHI,Inactive
HAW,,OCC-HAW-020,,14.3,19.13292,-155.50222,MHI,Inactive
HOW,,OCC-HOW-001,HOW-13,12.8,0.81991,-176.6162,PRIA,Active
HOW,HOW-E,OCC-HOW-002,,25,0.80941,-176.61044,PRIA,Active
HOW,HOW-E,OCC-HOW-003,HOW-12,14.6,0.80936,-176.61063,PRIA,Active
HOW,HOW-E,OCC-HOW-004,,5.2,0.80916,-176.61097,PRIA,Active
HOW,,OCC-HOW-005,HOW-11,13.7,0.7989,-176.6205,PRIA,Active
HOW,HOW-W,OCC-HOW-006,,25,0.80651,-176.62155,PRIA,Active
HOW,HOW-W,OCC-HOW-007,,14.3,0.80654,-176.62148,PRIA,Active
HOW,HOW-W,OCC-HOW-008,,5.2,0.80662,-176.62141,PRIA,Active
HOW,,OCC-HOW-009,HOW-14,14.6,0.81492,-176.62399,PRIA,Active
HOW,HOW-W,OCC-HOW-010,,38.4,0.80649,-176.62148,PRIA,Inactive
HOW,HOW-W,OCC-HOW-011,,19.8,0.80646,-176.62153,PRIA,Inactive
HOW,,OCC-HOW-012,,18.9,0.82351,-176.62216,PRIA,Inactive
HOW,,OCC-HOW-013,,4.9,0.8109,-176.61152,PRIA,Inactive
HOW,,OCC-HOW-014,,0.3,0.79485,-176.61122,PRIA,Inactive
HOW,,OCC-HOW-015,,0.3,0.82327,-176.6243,PRIA,Inactive
HOW,,OCC-HOW-016,HOW-05,13.7,0.8042,-176.6215,PRIA,Inactive
JAR,JAR-N,OCC-JAR-001,JAR-08,14.6,-0.36307,-159.99115,PRIA,Active
JAR,JAR-NE,OCC-JAR-002,,24.1,-0.36759,-159.97883,PRIA,Active
JAR,JAR-NE,OCC-JAR-003,JAR-01,15.5,-0.36776,-159.97879,PRIA,Active
JAR,JAR-E,OCC-JAR-004,,24.1,-0.3751,-159.97229,PRIA,Active
JAR,JAR-E,OCC-JAR-005,,12.8,-0.37509,-159.97245,PRIA,Active
JAR,JAR-E,OCC-JAR-006,,4.9,-0.37394,-159.98337,PRIA,Active
JAR,JAR-S,OCC-JAR-007,,24.1,-0.38241,-160.00293,PRIA,Active
JAR,JAR-S,OCC-JAR-008,JAR-04,14.6,-0.38234,-160.00298,PRIA,Active
JAR,JAR-S,OCC-JAR-009,,5.2,-0.38153,-160.00288,PRIA,Active
JAR,,OCC-JAR-010,,14.3,-0.3792,-160.01552,PRIA,Active
JAR,,OCC-JAR-011,JAR-07,14.6,-0.3764,-160.0144,PRIA,Active
JAR,JAR-W,OCC-JAR-012,,23.8,-0.36897,-160.00825,PRIA,Active
JAR,JAR-W,OCC-JAR-013,JAR-11,14.9,-0.36896,-160.00812,PRIA,Active
JAR,JAR-W,OCC-JAR-014,,5.8,-0.36906,-160.00796,PRIA,Active
JAR,JAR-W,OCC-JAR-015,,18.6,-0.36893,-160.00814,PRIA,Inactive
JAR,JAR-N,OCC-JAR-016,,9.8,-0.36324,-159.99114,PRIA,Inactive
JAR,JAR-N,OCC-JAR-017,,29.3,-0.36291,-159.99118,PRIA,Inactive
JAR,JAR-NE,OCC-JAR-018,,11.3,-0.36782,-159.97911,PRIA,Inactive
JAR,JAR-E,OCC-JAR-019,,33.2,-0.37505,-159.97227,PRIA,Inactive
JAR,,OCC-JAR-020,,0.2,-0.37947,-159.97845,PRIA,Inactive
JAR,,OCC-JAR-021,,9.1,-0.37947,-159.97845,PRIA,Inactive
JAR,JAR-SE,OCC-JAR-022,,10.1,-0.38187,-159.99663,PRIA,Inactive
JAR,JAR-SE,OCC-JAR-023,,32.3,-0.38209,-159.99663,PRIA,Inactive
JAR,JAR-E,OCC-JAR-024,,10.1,-0.37568,-159.97453,PRIA,Inactive
JAR,JAR-W,OCC-JAR-025,,10.1,-0.36889,-160.00808,PRIA,Inactive
JAR,JAR-W,OCC-JAR-026,,32.3,-0.36889,-160.00835,PRIA,Inactive
JAR,,OCC-JAR-027,,0.3,-0.37555,-159.97426,PRIA,Inactive
JAR,JAR-E,OCC-JAR-028,,13.7,-0.37558,-159.97435,PRIA,Inactive
JAR,,OCC-JAR-029,,0.3,-0.3754,-159.9737,PRIA,Inactive
JAR,,OCC-JAR-030,JAR-10,13.7,-0.38055,-159.9731,PRIA,Inactive
JOH,JOH-N,OCC-JOH-001,,24.7,16.7864,-169.46085,PRIA,Active
JOH,JOH-N,OCC-JOH-002,,15.5,16.78616,-169.46084,PRIA,Active
JOH,JOH-N,OCC-JOH-003,,6.1,16.78491,-169.46112,PRIA,Active
JOH,,OCC-JOH-004,JOH-07,12.2,16.7116,-169.47961,PRIA,Active
JOH,JOH-S,OCC-JOH-005,,25,16.67068,-169.52682,PRIA,Active
JOH,JOH-S,OCC-JOH-006,JOH-56,15.2,16.69167,-169.527,PRIA,Active
JOH,JOH-S,OCC-JOH-007,,5.2,16.7217,-169.52435,PRIA,Active
JOH,JOH-W,OCC-JOH-008,,24.7,16.73615,-169.55146,PRIA,Active
JOH,JOH-W,OCC-JOH-009,,14.9,16.73536,-169.55117,PRIA,Active
JOH,JOH-W,OCC-JOH-010,,1.2,16.7328,-169.5467,PRIA,Active
JOH,,OCC-JOH-011,JOH-10,14.6,16.76343,-169.5119,PRIA,Active
JOH,,OCC-JOH-012,,3,16.71479,-169.55503,PRIA,Inactive
JOH,,OCC-JOH-013,,2.7,16.74807,-169.52672,PRIA,Inactive
JOH,,OCC-JOH-014,,23.6,16.67025,-169.56607,PRIA,Inactive
JOH,,OCC-JOH-015,,8.8,16.75957,-169.49969,PRIA,Inactive
JOH,,OCC-JOH-016,,0.2,16.75957,-169.49969,PRIA,Inactive
JOH,,OCC-JOH-017,,2.4,16.74064,-169.48522,PRIA,Inactive
JOH,,OCC-JOH-018,JOH-09,8.1,16.7286,-169.48565,PRIA,Inactive
JOH,,OCC-JOH-019,JOH-11,9.5,16.72188,-169.52398,PRIA,Inactive
JOH,,OCC-JOH-020,JOH-12,11.4,16.74728,-169.52397,PRIA,Inactive
KAU,KAU-E,OCC-KAU-001,,22.9,21.99821,-159.3279,MHI,Active
KAU,KAU-E,OCC-KAU-002,,14.9,21.99846,-159.32854,MHI,Active
KAU,KAU-S,OCC-KAU-003,,25.3,21.87575,-159.52532,MHI,Active
KAU,KAU-S,OCC-KAU-004,KAU-22,15.8,21.87667,-159.5255,MHI,Active
KAU,KAU-S,OCC-KAU-005,,5.5,21.88223,-159.52549,MHI,Active
KAU,KAU-NW,OCC-KAU-006,,26.2,22.17144,-159.68715,MHI,Active
KAU,KAU-NW,OCC-KAU-007,KAU-21,14.6,22.16845,-159.68573,MHI,Active
KAU,KAU-NW,OCC-KAU-008,,5.2,22.16451,-159.68329,MHI,Inactive
KAU,,OCC-KAU-010,,6.1,21.86884,-159.44746,MHI,Inactive
KAU,,OCC-KAU-011,,18.6,22.13799,-159.76134,MHI,Inactive
KAU,,OCC-KAU-012,,25.5,22.12336,-159.77701,MHI,Inactive
KAU,,OCC-KAU-013,,2.1,22.22839,-159.55998,MHI,Inactive
KAU,,OCC-KAU-014,,14,22.23573,-159.47188,MHI,Inactive
KAU,,OCC-KAU-015,,15.2,22.21593,-159.5135,MHI,Inactive
KAU,,OCC-KAU-016,,14.9,22.16533,-159.29895,MHI,Inactive
KIM,,OCC-KIM-001,,3.7,-5.32534,150.29812,CORALTRI,Inactive
KIM,,OCC-KIM-002,,24.7,-5.32531,150.2982,CORALTRI,Inactive
KIM,,OCC-KIM-003,,11.3,-5.32532,150.29815,CORALTRI,Inactive
KIM,,OCC-KIM-004,,25.6,-5.20136,150.37786,CORALTRI,Inactive
KIM,,OCC-KIM-005,,25.3,-5.09039,150.19074,CORALTRI,Inactive
KIM,,OCC-KIM-006,,15.8,-5.09014,150.19086,CORALTRI,Inactive
KIM,,OCC-KIM-007,,4.9,-5.09003,150.1913,CORALTRI,Inactive
KIM,,OCC-KIM-008,,14.3,-5.29492,150.12828,CORALTRI,Inactive
KIM,,OCC-KIM-009,,4,-5.29489,150.1284,CORALTRI,Inactive
KIM,,OCC-KIM-010,,0.2,-5.15687,150.29904,CORALTRI,Inactive
KIM,,OCC-KIM-011,,25,-5.15688,150.29897,CORALTRI,Inactive
KIM,,OCC-KIM-012,,0.9,-5.29498,150.12847,CORALTRI,Inactive
KIM,,OCC-KIM-013,,36,-5.43687,150.09748,CORALTRI,Inactive
KIM,,OCC-KIM-014,,8.8,-5.20141,150.37778,CORALTRI,Inactive
KIM,,OCC-KIM-015,,0.9,-5.20151,150.37765,CORALTRI,Inactive
KIM,,OCC-KIM-016,,10.7,-5.0901,150.19177,CORALTRI,Inactive
KIM,,OCC-KIM-017,,2.7,-5.0901,150.19177,CORALTRI,Inactive
KIM,,OCC-KIM-018,,22.6,-5.29492,150.12813,CORALTRI,Inactive
KIM,,OCC-KIM-019,,8.8,-5.29492,150.12833,CORALTRI,Inactive
KIM,,OCC-KIM-020,,19.2,-5.43688,150.09748,CORALTRI,Inactive
KIM,,OCC-KIM-021,,7.3,-5.43687,150.09748,CORALTRI,Inactive
KIM,,OCC-KIM-022,,0,-5.43688,150.09682,CORALTRI,Inactive
KIN,KIN-N,OCC-KIN-001,,25.3,6.43938,-162.38783,PRIA,Active
KIN,KIN-N,OCC-KIN-002,KIN-04,14.3,6.43883,-162.38796,PRIA,Active
KIN,KIN-N,OCC-KIN-003,,6.1,6.43727,-162.38821,PRIA,Active
KIN,KIN-N,OCC-KIN-004,,0.9,6.42955,-162.38203,PRIA,Active
KIN,,OCC-KIN-005,KIN-16,7,6.39252,-162.34211,PRIA,Active
KIN,,OCC-KIN-006,KIN-11,14.6,6.38198,-162.3462,PRIA,Active
KIN,,OCC-KIN-007,,7.3,6.38263,-162.3593,PRIA,Active
KIN,KIN-S,OCC-KIN-008,,23.8,6.38213,-162.38403,PRIA,Active
KIN,KIN-S,OCC-KIN-009,KIN-13,13.4,6.38221,-162.38397,PRIA,Active
KIN,KIN-S,OCC-KIN-010,,5.8,6.38272,-162.38434,PRIA,Active
KIN,KIN-S,OCC-KIN-011,,1.5,6.38486,-162.37757,PRIA,Active
KIN,KIN-W,OCC-KIN-012,,24.7,6.4188,-162.43903,PRIA,Active
KIN,KIN-W,OCC-KIN-013,,14.6,6.41777,-162.43824,PRIA,Active
KIN,,OCC-KIN-014,KIN-62,14.6,6.40219,-162.38563,PRIA,Active
KIN,KIN-W,OCC-KIN-015,,17.7,6.41823,-162.43863,PRIA,Inactive
KIN,KIN-W,OCC-KIN-016,,33.5,6.41887,-162.43914,PRIA,Inactive
KIN,KIN-N,OCC-KIN-017,,7.9,6.43323,-162.37972,PRIA,Inactive
KIN,KIN-N,OCC-KIN-018,,5.2,6.42893,-162.38178,PRIA,Inactive
KIN,KIN-S,OCC-KIN-019,,3.7,6.38553,-162.3774,PRIA,Inactive
KIN,,OCC-KIN-020,KIN-07,10.1,6.40219,-162.38522,PRIA,Inactive
KIN,,OCC-KIN-021,,0.2,6.39242,-162.34221,PRIA,Inactive
KIN,,OCC-KIN-022,KIN-03,13.7,6.39025,-162.3604,PRIA,Inactive
KIN,,OCC-KIN-023,KIN-05,13.4,6.3947,-162.3463,PRIA,Inactive
KIN,,OCC-KIN-024,KIN-10,12.5,6.42038,-162.37942,PRIA,Inactive
KIN,,OCC-KIN-025,,11.6,6.387837,-162.348217,PRIA,Inactive
KIN,,OCC-KIN-026,,9.1,6.389912,-162.345686,PRIA,Inactive
KIN,,OCC-KIN-027,,7.6,6.391385,-162.347612,PRIA,Inactive
KUR,KUR-N,OCC-KUR-001,,25.9,28.45922,-178.34614,NWHI,Active
KUR,KUR-N,OCC-KUR-002,KUR-53,14.3,28.45291,-178.34711,NWHI,Active
KUR,KUR-N,OCC-KUR-003,,4.3,28.45054,-178.34551,NWHI,Active
KUR,,OCC-KUR-004,,0.9,28.44761,-178.30622,NWHI,Inactive
KUR,KUR-E,OCC-KUR-005,,25.3,28.43043,-178.28252,NWHI,Inactive
KUR,KUR-E,OCC-KUR-006,KUR-54,14.3,28.43037,-178.28523,NWHI,Inactive
KUR,KUR-E,OCC-KUR-007,,5.5,28.42968,-178.28817,NWHI,Inactive
KUR,,OCC-KUR-008,,18.3,28.39062,-178.28271,NWHI,Active
